row_id,hcp_id,period,specialty,region,territory_id,institution_type,decile,years_in_practice,calls_last_90d,days_since_last_call,email_sent_last_90d,emails_opened_last_90d,samples_dropped_last_90d,speaker_program_attended_12m,digital_engagement_score,patient_volume_est,nbrx_last_month,nbrx_3m_avg,trx_3m_avg,competitor_share_pct,payer_mix_commercial_pct,formulary_status,campaign_wave_id,followup_call_logged_flag,territory_target_refresh_flag
661,100076,2026-04,Endocrinology,West,T-W50,Private Clinic,5,12.0,1,22.0,5,2,1,0,53.7,120.0,4.66,3.47,13.75,17.0,81.2,Preferred,W189,,0.0
662,101225,2026-06,Cardiology,Central,T-C60,Private Clinic,3,19.0,1,22.0,6,2,1,0,46.7,96.0,3.72,2.37,8.36,61.5,59.3,Preferred,W47,0.0,0.0
663,102461,2026-03,Endocrinology,North,T-N36,Group Practice,6,15.0,3,15.0,4,1,2,0,59.5,133.0,2.53,4.02,12.61,64.7,64.4,Preferred,W170,,0.0
664,101947,2026-06,Internal Medicine,Central,T-C39,Hospital,7,15.0,4,13.0,5,2,5,0,52.6,145.0,5.87,4.57,18.86,20.5,37.0,Preferred,W211,,0.0
665,101796,2026-02,Internal Medicine,East,T-E77,Hospital,1,13.0,0,28.0,5,2,0,0,35.0,72.0,0.82,1.28,3.86,66.8,57.1,Non-preferred,W26,1.0,1.0
666,101483,2026-02,Internal Medicine,Central,T-C16,Academic,6,16.0,4,13.0,6,2,3,0,51.8,133.0,4.41,4.02,16.45,25.9,47.5,Preferred,W144,,0.0
667,101811,2026-05,Internal Medicine,East,T-E35,Group Practice,10,4.0,5,11.0,4,1,3,0,72.2,181.0,3.06,6.21,28.27,52.0,37.4,Preferred,W97,,0.0
668,100160,2026-04,Endocrinology,South,T-S58,Private Clinic,2,15.0,2,18.0,6,2,5,0,27.6,84.0,1.37,1.83,4.96,92.3,48.9,Preferred,W15,0.0,0.0
669,101949,2026-05,Internal Medicine,Central,T-C26,Academic,2,1.0,2,18.0,7,1,4,1,67.3,84.0,2.33,1.83,3.57,23.3,52.9,Non-preferred,W171,,0.0
670,102038,2026-03,Primary Care,West,T-W52,Group Practice,6,27.0,4,13.0,7,3,3,0,54.3,133.0,1.87,4.02,7.46,25.0,50.4,Not covered,W136,,1.0
671,100088,2026-03,Nephrology,East,T-E60,Private Clinic,3,13.0,1,22.0,7,4,0,0,34.5,96.0,2.87,2.37,8.31,70.8,66.8,Preferred,W214,,1.0
672,101151,2026-04,Internal Medicine,East,T-E23,Group Practice,2,13.0,0,28.0,4,2,0,0,33.5,84.0,1.85,1.83,4.92,71.6,62.7,Preferred,W169,,0.0
673,101897,2026-04,Primary Care,Central,T-C34,Hospital,6,30.0,0,28.0,6,3,0,0,55.6,133.0,7.04,4.02,14.85,68.6,42.9,Preferred,W24,,0.0
674,102429,2026-05,Internal Medicine,Central,T-C43,Group Practice,5,19.0,6,10.0,5,1,9,0,47.2,120.0,3.87,3.47,11.26,58.9,65.9,Preferred,W134,,1.0
675,100512,2026-01,Internal Medicine,East,T-E49,Academic,7,23.0,3,15.0,5,2,4,0,28.7,145.0,5.21,4.57,13.5,49.4,51.1,Preferred,W57,,0.0
676,101667,2026-01,Endocrinology,East,T-E70,Private Clinic,3,11.0,4,13.0,9,4,4,0,44.4,96.0,1.37,2.37,7.01,40.7,53.7,Preferred,W203,,1.0
677,100982,2026-02,Endocrinology,North,T-N64,Group Practice,1,14.0,3,15.0,6,1,2,0,45.9,72.0,1.98,1.28,3.23,51.2,75.8,Not covered,W139,,0.0
678,100604,2026-05,Nephrology,Central,T-C30,Group Practice,3,10.0,3,15.0,3,0,1,0,52.0,96.0,1.89,2.37,5.73,20.3,46.7,Non-preferred,W57,1.0,1.0
679,101129,2026-03,Endocrinology,North,T-N16,Private Clinic,4,20.0,2,18.0,7,2,1,0,56.1,108.0,2.53,2.92,9.45,59.2,74.6,Non-preferred,W138,,0.0
680,100067,2026-01,Cardiology,North,T-N55,Group Practice,8,16.0,3,15.0,5,2,2,0,54.1,157.0,4.48,5.11,11.37,77.4,48.1,Preferred,W109,,0.0
681,100381,2026-04,Primary Care,East,T-E64,Hospital,7,12.0,2,18.0,4,0,2,0,27.5,145.0,4.81,4.57,15.39,65.9,53.6,Non-preferred,W74,,0.0
682,101785,2026-02,Primary Care,East,T-E39,Group Practice,3,2.0,0,28.0,0,0,0,0,29.9,96.0,1.93,2.37,8.63,71.1,74.1,Non-preferred,W196,,0.0
683,100149,2026-04,Cardiology,West,T-W14,Private Clinic,8,20.0,4,13.0,14,2,2,0,42.5,157.0,3.33,5.11,19.7,43.1,69.8,Preferred,W217,,1.0
684,102193,2026-03,Internal Medicine,Central,T-C43,Group Practice,4,28.0,0,28.0,10,2,0,0,52.2,108.0,4.0,2.92,7.63,50.2,64.0,Restricted,W57,,1.0
685,100451,2026-02,Primary Care,East,T-E76,Group Practice,1,26.0,0,28.0,12,1,0,0,27.1,72.0,1.01,1.28,5.53,73.1,32.7,Preferred,W80,,0.0
686,102065,2026-01,Primary Care,North,T-N21,Private Clinic,3,16.0,1,22.0,6,1,0,0,60.5,96.0,2.39,2.37,7.53,43.6,42.1,Preferred,W121,,1.0
687,101056,2026-01,Internal Medicine,East,T-E71,Hospital,3,9.0,3,15.0,2,1,3,0,64.3,96.0,1.48,2.37,5.95,65.8,75.8,Preferred,W91,,0.0
688,102341,2026-03,Internal Medicine,Central,T-C29,Hospital,4,12.0,3,15.0,6,1,1,0,36.4,108.0,3.14,2.92,5.79,75.2,47.4,Restricted,W73,,1.0
689,101922,2026-06,Internal Medicine,West,T-W75,Academic,10,1.0,5,11.0,5,1,4,0,48.6,181.0,7.45,6.21,17.01,36.5,70.9,Non-preferred,W206,,1.0
690,101319,2026-04,Internal Medicine,North,T-N64,Group Practice,10,12.0,5,11.0,4,1,2,0,60.1,181.0,4.72,6.21,23.89,48.2,82.5,Not covered,W209,,0.0
691,101950,2026-04,Endocrinology,East,T-E40,Private Clinic,7,26.0,6,10.0,6,2,6,1,61.1,145.0,4.0,4.57,14.24,40.5,36.7,Preferred,W170,,0.0
692,102221,2026-06,Internal Medicine,Central,T-C56,Group Practice,9,8.0,4,13.0,6,3,3,0,52.7,169.0,7.12,5.66,21.23,14.5,60.9,Not covered,W192,,0.0
693,101341,2026-06,Internal Medicine,East,T-E15,Group Practice,7,1.0,0,28.0,9,1,0,1,44.2,145.0,2.93,4.57,14.08,43.6,67.6,Preferred,W204,,0.0
694,100312,2026-04,Internal Medicine,East,T-E38,Private Clinic,1,9.0,3,15.0,8,2,3,0,58.3,72.0,1.75,1.28,4.4,50.9,49.8,Non-preferred,W208,,0.0
695,100009,2026-02,Primary Care,East,T-E65,Private Clinic,8,1.0,2,18.0,4,3,0,0,65.1,157.0,5.83,5.11,12.13,32.3,20.9,Non-preferred,W12,,0.0
696,102484,2026-05,Primary Care,South,T-S22,Hospital,7,9.0,4,13.0,7,3,3,1,56.4,145.0,3.49,4.57,11.86,23.8,73.2,Preferred,W69,0.0,0.0
697,101981,2026-01,Cardiology,Central,T-C45,Hospital,9,6.0,3,15.0,8,4,2,0,60.7,169.0,6.73,5.66,25.92,60.4,63.0,Preferred,W8,,0.0
698,101231,2026-03,Primary Care,West,T-W62,Hospital,4,34.0,3,15.0,10,2,4,0,30.8,108.0,3.86,2.92,9.71,36.8,48.0,Not covered,W104,0.0,0.0
699,101305,2026-05,Primary Care,South,T-S17,Private Clinic,10,8.0,4,13.0,7,1,2,0,41.5,181.0,9.52,6.21,30.41,67.1,36.0,Non-preferred,W3,,1.0
700,101857,2026-01,Endocrinology,West,T-W75,Private Clinic,10,32.0,1,22.0,7,2,0,0,62.3,181.0,0.89,6.21,18.44,51.6,65.0,Non-preferred,W140,,0.0
701,102370,2026-02,Internal Medicine,South,T-S67,Hospital,4,14.0,2,18.0,6,2,0,0,57.6,108.0,2.63,2.92,8.23,10.9,29.7,Non-preferred,W121,,0.0
702,100650,2026-02,Internal Medicine,West,T-W55,Private Clinic,10,12.0,6,10.0,6,1,7,0,31.2,181.0,5.72,6.21,26.88,55.4,71.4,Restricted,W171,0.0,0.0
703,101737,2026-03,Nephrology,South,T-S63,Private Clinic,8,27.0,6,10.0,9,2,5,1,63.4,157.0,5.04,5.11,17.98,55.3,32.7,Preferred,W85,,0.0
704,100123,2026-01,Cardiology,Central,T-C61,Private Clinic,10,7.0,4,13.0,6,2,5,1,48.8,181.0,5.94,6.21,20.48,31.2,57.0,Preferred,W102,,0.0
705,102099,2026-02,Internal Medicine,South,T-S79,Private Clinic,8,7.0,7,9.0,12,4,5,0,43.8,157.0,1.65,5.11,20.08,29.3,35.3,Restricted,W67,,0.0
706,102253,2026-02,Primary Care,East,T-E47,Group Practice,2,15.0,1,22.0,8,1,0,0,49.2,84.0,1.64,1.83,9.02,56.1,55.4,Non-preferred,W64,0.0,0.0
707,101580,2026-04,Endocrinology,East,T-E13,Academic,5,8.0,4,13.0,8,0,6,0,40.9,120.0,5.31,3.47,10.94,45.3,56.2,Restricted,W88,,1.0
708,102092,2026-04,Internal Medicine,South,T-S10,Private Clinic,3,23.0,2,18.0,5,0,1,0,52.0,96.0,3.4,2.37,5.91,61.6,63.4,Preferred,W6,,0.0
709,101982,2026-01,Internal Medicine,South,T-S74,Academic,9,16.0,0,28.0,6,2,0,0,28.9,169.0,6.53,5.66,23.95,13.0,79.9,Restricted,W72,,1.0
710,101881,2026-06,Primary Care,North,T-N28,Private Clinic,9,16.0,5,11.0,3,0,10,0,58.4,169.0,5.77,5.66,17.13,32.4,78.8,Non-preferred,W186,,1.0
711,100376,2026-04,Internal Medicine,West,T-W66,Academic,9,12.0,2,18.0,9,3,3,0,49.3,169.0,7.11,5.66,17.02,58.4,82.7,Preferred,W174,,1.0
712,100691,2026-05,Cardiology,North,T-N10,Hospital,2,15.0,3,15.0,9,4,4,0,78.9,84.0,2.83,1.83,4.15,64.8,57.1,Non-preferred,W16,,1.0
713,101199,2026-04,Cardiology,South,T-S36,Hospital,1,1.0,0,28.0,4,3,0,0,39.4,72.0,1.25,1.28,5.03,25.1,88.9,Restricted,W150,,1.0
714,102128,2026-05,Cardiology,North,T-N70,Hospital,4,26.0,5,11.0,4,3,3,0,52.5,108.0,3.46,2.92,8.94,76.2,70.7,Restricted,W100,,0.0
715,100628,2026-03,Endocrinology,Central,T-C46,Academic,7,23.0,7,9.0,8,3,12,0,54.1,145.0,4.62,4.57,16.83,39.1,66.0,Non-preferred,W43,,0.0
716,102323,2026-04,Cardiology,North,T-N63,Private Clinic,6,25.0,1,22.0,5,1,2,1,72.7,133.0,3.77,4.02,14.22,68.5,30.9,Preferred,W65,,0.0
717,101523,2026-03,Internal Medicine,South,T-S28,Hospital,7,7.0,5,11.0,7,3,8,0,56.2,145.0,3.81,4.57,12.61,30.6,43.3,Preferred,W22,,0.0
718,100035,2026-04,Internal Medicine,North,T-N31,Private Clinic,6,16.0,5,11.0,3,2,3,1,80.6,133.0,5.12,4.02,11.45,51.7,46.9,Not covered,W9,,1.0
719,101516,2026-03,Primary Care,East,T-E34,Private Clinic,10,7.0,3,15.0,5,1,2,0,58.5,181.0,8.07,6.21,11.34,72.2,50.1,Non-preferred,W145,,0.0
720,101441,2026-01,Internal Medicine,East,T-E69,Group Practice,8,11.0,8,9.0,6,3,3,0,30.5,157.0,2.45,5.11,13.53,49.7,35.4,Preferred,W104,,0.0
721,102258,2026-05,Cardiology,East,T-E26,Academic,3,23.0,5,11.0,13,5,3,0,51.5,96.0,2.08,2.37,3.69,73.3,63.5,Restricted,W148,,0.0
722,100298,2026-03,Cardiology,Central,T-C51,Hospital,10,11.0,3,15.0,2,0,7,1,49.1,181.0,2.64,6.21,18.35,31.8,74.4,Non-preferred,W130,,0.0
723,102297,2026-01,Primary Care,Central,T-C25,Hospital,1,3.0,1,22.0,4,1,1,0,63.6,72.0,1.29,1.28,4.37,57.4,60.1,Preferred,W21,,0.0
724,101670,2026-03,Internal Medicine,North,T-N50,Private Clinic,9,12.0,6,10.0,6,1,5,0,76.2,169.0,7.49,5.66,18.8,43.9,73.5,Non-preferred,W11,,0.0
725,102344,2026-01,Primary Care,Central,T-C56,Academic,2,16.0,1,22.0,7,1,1,0,69.2,84.0,1.93,1.83,4.15,58.7,34.1,Non-preferred,W8,0.0,1.0
726,100386,2026-06,Internal Medicine,East,T-E60,Private Clinic,7,11.0,5,11.0,11,7,2,0,44.2,145.0,4.03,4.57,15.27,46.9,50.4,Restricted,W62,0.0,0.0
727,102450,2026-04,Cardiology,Central,T-C64,Hospital,5,13.0,8,9.0,4,2,8,1,75.5,120.0,3.44,3.47,10.32,43.9,90.9,Preferred,W192,0.0,0.0
728,102098,2026-03,Primary Care,East,T-E19,Group Practice,7,13.0,4,13.0,4,0,5,0,41.2,145.0,6.03,4.57,11.69,29.9,50.5,Restricted,W108,,0.0
729,101410,2026-04,Primary Care,Central,T-C30,Private Clinic,9,9.0,2,18.0,9,5,1,0,56.2,169.0,7.31,5.66,17.67,39.3,47.9,Non-preferred,W195,,0.0
730,100632,2026-02,Primary Care,East,T-E13,Academic,6,9.0,2,18.0,8,2,0,0,62.9,133.0,3.85,4.02,9.01,17.9,61.5,Preferred,W65,,0.0
731,102155,2026-01,Nephrology,North,T-N40,Hospital,8,25.0,7,9.0,6,1,8,0,32.3,157.0,6.65,5.11,18.88,65.6,84.2,Non-preferred,W98,,0.0
732,101290,2026-04,Endocrinology,East,T-E58,Group Practice,2,16.0,2,18.0,2,0,0,0,48.8,84.0,1.24,1.83,7.24,34.3,73.9,Preferred,W148,,0.0
733,100109,2026-06,Primary Care,North,T-N26,Private Clinic,3,2.0,2,18.0,7,3,1,1,74.9,96.0,3.31,2.37,8.28,77.4,63.5,Restricted,W7,,0.0
734,100197,2026-05,Endocrinology,Central,T-C73,Hospital,10,16.0,2,18.0,8,2,2,0,35.4,181.0,2.66,6.21,19.02,39.1,57.0,Preferred,W172,,0.0
735,101055,2026-05,Primary Care,Central,T-C35,Private Clinic,6,8.0,3,15.0,10,7,1,0,46.7,133.0,3.72,4.02,17.55,35.8,36.5,Preferred,W178,,0.0
736,101322,2026-05,Endocrinology,North,T-N71,Private Clinic,9,11.0,2,18.0,3,1,2,1,70.1,169.0,4.78,5.66,24.03,52.3,35.2,Not covered,W84,,0.0
737,102448,2026-04,Primary Care,East,T-E36,Private Clinic,6,15.0,3,15.0,6,1,5,0,67.8,133.0,3.98,4.02,9.41,80.2,69.8,Restricted,W23,,0.0
738,102401,2026-04,Endocrinology,South,T-S76,Private Clinic,9,2.0,2,18.0,7,1,1,0,41.3,169.0,6.3,5.66,21.07,31.2,67.0,Restricted,W72,,1.0
739,102472,2026-01,Primary Care,South,T-S19,Group Practice,9,33.0,4,13.0,6,2,1,0,47.1,169.0,4.42,5.66,15.22,27.6,56.4,Preferred,W147,1.0,1.0
740,101835,2026-03,Cardiology,West,T-W57,Private Clinic,1,18.0,3,15.0,7,1,1,0,57.3,72.0,1.43,1.28,3.6,91.2,72.7,Restricted,W158,,0.0
741,100271,2026-06,Primary Care,South,T-S16,Private Clinic,8,15.0,5,11.0,5,1,6,0,44.7,157.0,4.81,5.11,18.16,11.2,41.1,Non-preferred,W12,,1.0
742,100028,2026-04,Primary Care,East,T-E68,Group Practice,2,20.0,1,22.0,7,1,2,0,39.9,84.0,2.95,1.83,6.42,46.1,76.3,Preferred,W59,,0.0
743,101201,2026-04,Cardiology,North,T-N78,Private Clinic,2,18.0,0,28.0,9,4,0,0,44.7,84.0,1.91,1.83,7.57,52.5,37.3,Non-preferred,W143,,1.0
744,100244,2026-06,Internal Medicine,North,T-N16,Group Practice,5,19.0,1,22.0,7,2,0,0,66.1,120.0,3.61,3.47,10.83,80.7,53.7,Non-preferred,W28,,0.0
745,100332,2026-01,Internal Medicine,West,T-W48,Academic,10,20.0,8,9.0,12,2,13,0,52.5,181.0,6.21,6.21,19.0,61.0,52.7,Non-preferred,W44,,0.0
746,100411,2026-04,Endocrinology,North,T-N45,Hospital,8,24.0,2,18.0,4,2,6,0,19.8,157.0,6.08,5.11,15.37,32.3,82.9,Non-preferred,W168,,0.0
747,100760,2026-05,Internal Medicine,East,T-E30,Private Clinic,3,18.0,4,13.0,6,0,6,0,55.3,96.0,2.02,2.37,9.28,69.5,76.8,Non-preferred,W16,,1.0
748,101565,2026-05,Cardiology,Central,T-C36,Hospital,5,18.0,1,22.0,4,1,1,0,50.4,120.0,3.73,3.47,16.14,74.4,50.8,Non-preferred,W22,,1.0
749,100948,2026-04,Internal Medicine,North,T-N36,Private Clinic,8,1.0,3,15.0,8,3,3,1,49.2,157.0,5.48,5.11,13.7,69.6,47.1,Preferred,W64,,1.0
750,100797,2026-01,Primary Care,North,T-N26,Hospital,5,19.0,2,18.0,6,3,1,0,44.2,120.0,5.19,3.47,12.14,60.1,32.4,Non-preferred,W24,,0.0
751,100181,2026-01,Primary Care,East,T-E17,Hospital,1,11.0,0,28.0,8,1,0,0,67.9,72.0,0.88,1.28,4.84,53.9,58.3,Preferred,W53,,1.0
752,100154,2026-06,Primary Care,East,T-E53,Hospital,6,15.0,0,28.0,2,1,0,0,31.9,133.0,4.09,4.02,18.81,54.3,83.1,Restricted,W191,,0.0
753,100210,2026-03,Cardiology,East,T-E73,Group Practice,8,17.0,3,15.0,10,3,3,1,37.0,157.0,5.65,5.11,25.23,82.6,37.4,Not covered,W118,,1.0
754,100110,2026-06,Cardiology,South,T-S49,Private Clinic,4,18.0,0,28.0,7,2,0,0,46.6,108.0,3.77,2.92,8.86,63.8,54.6,Not covered,W96,0.0,0.0
755,102481,2026-05,Endocrinology,South,T-S75,Hospital,6,8.0,4,13.0,6,3,3,0,43.1,133.0,4.11,4.02,15.11,45.0,57.6,Non-preferred,W181,,0.0
756,102488,2026-06,Primary Care,Central,T-C22,Private Clinic,3,19.0,5,11.0,10,3,2,1,71.2,96.0,2.57,2.37,8.8,71.3,27.3,Preferred,W4,,0.0
757,100987,2026-01,Cardiology,West,T-W41,Group Practice,6,18.0,8,9.0,4,1,8,0,64.9,133.0,4.83,4.02,11.57,28.7,79.0,Preferred,W199,,1.0
758,101947,2026-05,Internal Medicine,Central,T-C39,Hospital,7,15.0,1,22.0,2,1,0,0,44.1,145.0,3.7,4.57,17.95,42.2,47.0,Restricted,W56,,1.0
759,100401,2026-02,Cardiology,West,T-W20,Group Practice,4,22.0,0,28.0,4,2,0,0,51.2,108.0,4.11,2.92,8.6,81.5,78.7,Preferred,W14,,0.0
760,100711,2026-03,Endocrinology,North,T-N58,Academic,6,8.0,4,13.0,7,0,3,0,42.6,133.0,6.2,4.02,13.43,32.6,74.0,Non-preferred,W7,,1.0
761,100744,2026-03,Primary Care,West,T-W36,Private Clinic,10,14.0,4,13.0,11,5,5,0,54.8,181.0,6.22,6.21,26.05,68.5,37.2,Preferred,W21,,0.0
762,101163,2026-04,Internal Medicine,East,T-E14,Private Clinic,6,15.0,5,11.0,8,3,5,0,38.8,133.0,3.76,4.02,13.4,50.5,45.9,Non-preferred,W25,,0.0
763,101883,2026-03,Endocrinology,South,T-S38,Private Clinic,10,31.0,7,9.0,6,3,9,1,38.3,181.0,4.3,6.21,20.92,33.7,54.1,Preferred,W66,,0.0
764,101628,2026-01,Cardiology,West,T-W16,Group Practice,9,28.0,2,18.0,8,2,2,1,40.2,169.0,5.52,5.66,23.54,47.2,32.7,Preferred,W42,,1.0
765,102377,2026-02,Cardiology,West,T-W30,Group Practice,1,4.0,0,28.0,10,3,0,0,52.8,72.0,0.84,1.28,4.96,68.0,40.9,Non-preferred,W85,,0.0
766,102087,2026-04,Primary Care,South,T-S66,Private Clinic,1,15.0,3,15.0,2,0,4,0,53.7,72.0,0.99,1.28,3.32,45.0,63.7,Preferred,W114,,0.0
767,101905,2026-03,Nephrology,West,T-W36,Hospital,7,3.0,0,28.0,11,2,0,0,46.6,145.0,4.51,4.57,16.03,80.4,54.5,Preferred,W63,,1.0
768,101059,2026-03,Internal Medicine,West,T-W77,Group Practice,6,18.0,4,13.0,8,1,4,1,37.9,133.0,3.05,4.02,16.51,68.5,19.4,Not covered,W21,,0.0
769,101368,2026-02,Cardiology,East,T-E59,Hospital,9,20.0,5,11.0,7,1,5,0,38.6,169.0,5.26,5.66,15.57,31.2,55.6,Preferred,W171,,0.0
770,101278,2026-02,Internal Medicine,South,T-S65,Academic,3,23.0,4,13.0,4,0,1,1,44.9,96.0,1.33,2.37,8.77,59.7,68.9,Restricted,W29,,1.0
771,101718,2026-04,Cardiology,South,T-S57,Private Clinic,3,19.0,3,15.0,6,2,1,0,55.9,96.0,1.67,2.37,5.89,46.2,58.5,Not covered,W86,,0.0
772,100596,2026-01,Internal Medicine,West,T-W32,Hospital,3,10.0,1,22.0,5,2,2,0,65.4,96.0,2.73,2.37,5.92,64.7,46.1,Non-preferred,W51,,0.0
773,101193,2026-05,Internal Medicine,South,T-S44,Private Clinic,5,21.0,3,15.0,8,3,3,0,35.8,120.0,2.31,3.47,11.87,29.3,33.2,Non-preferred,W133,,0.0
774,100659,2026-03,Endocrinology,Central,T-C33,Hospital,5,17.0,2,18.0,7,3,1,0,43.0,120.0,3.27,3.47,16.12,34.2,85.3,Preferred,W61,,0.0
775,100100,2026-03,Endocrinology,Central,T-C44,Hospital,3,17.0,2,18.0,6,2,3,1,64.4,96.0,1.18,2.37,8.61,69.1,36.5,Not covered,W56,,1.0
776,101605,2026-06,Internal Medicine,East,T-E22,Group Practice,8,25.0,1,22.0,7,4,3,0,47.1,157.0,4.74,5.11,16.12,76.5,60.3,Preferred,W60,,0.0
777,101472,2026-04,Internal Medicine,Central,T-C10,Hospital,8,15.0,3,15.0,4,2,3,0,54.4,157.0,4.04,5.11,13.1,17.1,52.1,Non-preferred,W153,,0.0
778,101680,2026-06,Primary Care,Central,T-C71,Group Practice,9,20.0,10,7.0,6,4,9,0,61.5,169.0,7.11,5.66,27.97,76.6,60.0,Not covered,W115,,0.0
779,100201,2026-02,Cardiology,Central,T-C79,Private Clinic,1,3.0,0,28.0,8,4,0,0,44.6,72.0,1.1,1.28,3.19,98.8,35.6,Non-preferred,W213,0.0,0.0
780,100476,2026-06,Primary Care,East,T-E48,Academic,7,23.0,2,18.0,9,2,3,0,62.3,145.0,4.94,4.57,8.42,34.5,31.8,Preferred,W206,,0.0
781,100070,2026-05,Internal Medicine,East,T-E45,Group Practice,3,8.0,6,10.0,3,1,6,0,49.8,96.0,3.01,2.37,10.03,37.7,8.2,Preferred,W147,,0.0
782,100747,2026-06,Primary Care,Central,T-C50,Private Clinic,7,29.0,6,10.0,10,5,3,0,70.5,145.0,6.12,4.57,10.78,59.9,16.9,Preferred,W146,,1.0
783,100712,2026-05,Internal Medicine,South,T-S10,Hospital,1,17.0,2,18.0,6,2,4,0,34.5,72.0,1.31,1.28,5.19,78.6,47.4,Non-preferred,W40,,0.0
784,100577,2026-05,Primary Care,West,T-W22,Academic,9,8.0,2,18.0,6,1,2,0,69.5,169.0,5.55,5.66,17.64,43.5,32.5,Non-preferred,W200,,0.0
785,101377,2026-04,Internal Medicine,East,T-E12,Hospital,9,14.0,8,9.0,12,4,7,0,63.5,169.0,7.01,5.66,24.76,35.5,64.3,Not covered,W165,,0.0
786,100293,2026-06,Primary Care,West,T-W35,Private Clinic,1,20.0,2,18.0,6,1,3,0,63.2,72.0,1.5,1.28,5.33,23.8,60.9,Restricted,W134,0.0,0.0
787,100330,2026-05,Nephrology,Central,T-C77,Hospital,6,26.0,5,11.0,10,4,8,0,20.1,133.0,1.59,4.02,12.99,53.0,44.7,Non-preferred,W115,,0.0
788,101835,2026-05,Cardiology,West,T-W57,Private Clinic,1,18.0,2,18.0,7,1,1,0,37.2,72.0,0.82,1.28,3.39,42.1,59.5,Restricted,W99,,0.0
789,101798,2026-02,Primary Care,Central,T-C70,Academic,10,7.0,4,13.0,7,4,4,0,62.8,181.0,3.6,6.21,29.79,31.3,53.8,Non-preferred,W57,,0.0
790,101756,2026-04,Primary Care,South,T-S24,Hospital,9,18.0,1,22.0,10,2,0,0,20.2,169.0,5.55,5.66,15.7,30.7,67.5,Preferred,W211,,0.0
791,102166,2026-02,Internal Medicine,Central,T-C54,Private Clinic,3,20.0,1,22.0,7,1,0,1,66.6,96.0,2.47,2.37,8.14,77.5,23.7,Preferred,W198,,0.0
792,101624,2026-01,Internal Medicine,South,T-S43,Private Clinic,9,6.0,4,13.0,6,3,3,0,52.1,169.0,3.74,5.66,13.81,12.6,59.1,Non-preferred,W80,0.0,1.0
793,100274,2026-03,Cardiology,West,T-W47,Hospital,2,15.0,2,18.0,9,3,2,0,45.0,84.0,1.02,1.83,7.48,94.7,69.9,Not covered,W14,,0.0
794,102088,2026-01,Cardiology,North,T-N79,Group Practice,3,7.0,1,22.0,5,2,2,0,49.6,96.0,2.56,2.37,9.05,38.5,42.0,Non-preferred,W189,,1.0
795,100408,2026-04,Internal Medicine,West,T-W35,Private Clinic,4,10.0,2,18.0,3,2,1,0,38.6,108.0,3.3,2.92,13.93,49.0,70.4,Preferred,W72,,0.0
796,100594,2026-04,Internal Medicine,South,T-S38,Hospital,4,15.0,3,15.0,9,2,5,1,46.2,108.0,3.51,2.92,11.32,29.7,68.6,Preferred,W140,0.0,0.0
797,100515,2026-04,Internal Medicine,West,T-W61,Academic,3,9.0,5,11.0,7,2,3,0,39.5,96.0,2.15,2.37,5.05,37.4,10.6,Non-preferred,W47,,0.0
798,101301,2026-02,Nephrology,East,T-E76,Academic,10,13.0,6,10.0,4,1,5,0,58.5,181.0,6.99,6.21,17.34,22.2,65.1,Non-preferred,W131,,0.0
799,101152,2026-01,Cardiology,South,T-S52,Group Practice,7,14.0,7,9.0,3,1,6,0,44.2,145.0,6.38,4.57,18.93,38.1,62.7,Preferred,W215,,1.0
800,101613,2026-01,Cardiology,North,T-N59,Private Clinic,10,18.0,8,9.0,8,4,6,0,57.5,181.0,7.21,6.21,21.54,17.8,65.4,Restricted,W66,0.0,0.0
801,101194,2026-01,Internal Medicine,East,T-E76,Private Clinic,2,41.0,0,28.0,6,0,0,0,43.6,84.0,2.35,1.83,7.13,74.1,84.4,Restricted,W65,,0.0
802,100046,2026-02,Cardiology,South,T-S55,Hospital,2,18.0,0,28.0,8,3,0,0,40.9,84.0,2.11,1.83,5.42,10.4,55.4,Non-preferred,W17,,0.0
803,100562,2026-05,Internal Medicine,North,T-N16,Hospital,1,18.0,1,22.0,5,0,1,0,68.8,72.0,1.26,1.28,4.83,70.5,54.9,Restricted,W126,,0.0
804,100341,2026-02,Cardiology,West,T-W27,Hospital,7,7.0,4,13.0,8,2,5,0,50.0,145.0,5.78,4.57,15.52,61.0,56.9,Preferred,W1,,0.0
805,101530,2026-02,Nephrology,Central,T-C23,Group Practice,5,15.0,2,18.0,6,2,4,0,55.9,120.0,3.11,3.47,15.64,43.2,30.9,Preferred,W81,,0.0
806,100946,2026-05,Cardiology,North,T-N45,Hospital,7,15.0,3,15.0,4,1,4,0,53.2,145.0,3.28,4.57,21.31,27.2,65.6,Restricted,W194,,0.0
807,101758,2026-05,Cardiology,North,T-N10,Group Practice,5,27.0,0,28.0,8,4,0,0,46.8,120.0,3.66,3.47,9.66,73.9,61.1,Preferred,W186,,1.0
808,101301,2026-03,Nephrology,East,T-E76,Academic,10,13.0,3,15.0,10,1,2,1,48.7,181.0,4.89,6.21,18.89,53.5,75.3,Preferred,W157,,0.0
809,100637,2026-01,Internal Medicine,East,T-E21,Academic,6,30.0,6,10.0,10,5,6,1,77.5,133.0,4.14,4.02,11.21,59.5,37.6,Non-preferred,W162,,0.0
810,100868,2026-04,Primary Care,Central,T-C32,Hospital,8,27.0,3,15.0,9,2,3,1,39.6,157.0,2.42,5.11,18.39,25.2,46.7,Preferred,W74,,1.0
